run_dir,algo,env,tag,seed,buffer,peak_ram_mb,peak_vram_mb,peak_replay_buffer_mb,model_params_mb,optimizer_state_mb,final_eval_mean,return_per_ram_gb,return_per_vram_gb,best_eval_timestep,final_reward,final_success,final_step,episodes,final_train_ep_reward,final_train_ep_len,final_ep_len_alt,exploration/unique_obs_mean_last100,exploration/frontier_rate_mean_last100,eval_success_csv,eval_mean_csv,eval_success_masked_csv,eval_mean_masked_csv,eval_success_csv_old,eval_mean_csv_old,eval_mean_csv_alt
results\BetaDQN_strict\MiniGrid-DoorKey-5x5-v0\bf100K_seed_000,BetaDQN_strict,MiniGrid-DoorKey-5x5-v0,bf100K_seed_000,0,100000,,,,,,,,,,0.0,0.0,3363764.0,14040.0,0.0,250.0,,8.303030303030303,0.0,0.0,0.0,0.0,0.0,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf100K_seed_000,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf100K_seed_000,0,100000,2169.9,,1796.34,2.86,2.86,0.96,0.453,,590000.0,0.96904,1.0,,,,,,9.731958762886597,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf100K_seed_111,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf100K_seed_111,111,100000,2169.73,,1796.34,2.86,2.86,0.969,0.457,,890000.0,0.97264,1.0,,,,,,10.153061224489797,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf100K_seed_222,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf100K_seed_222,222,100000,2169.86,,1796.34,2.86,2.86,0.963,0.454,,310000.0,0.96976,1.0,,,,,,9.714285714285714,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf25K_seed_000,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf25K_seed_000,0,25000,824.26,,449.09,2.86,2.86,0.962,1.195,,540000.0,0.9697600000000002,1.0,,,,,,9.97938144329897,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf25K_seed_111,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf25K_seed_111,111,25000,822.73,,449.09,2.86,2.86,0.969,1.206,,890000.0,0.97264,1.0,,,,,,9.76530612244898,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf25K_seed_222,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf25K_seed_222,222,25000,823.19,,449.09,2.86,2.86,0.963,1.197,,840000.0,0.96976,1.0,,,,,,9.76530612244898,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf50K_seed_000,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf50K_seed_000,0,50000,1273.57,,898.17,2.86,2.86,0.962,0.773,,540000.0,0.9697600000000002,1.0,,,,,,9.989795918367347,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf50K_seed_111,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf50K_seed_111,111,50000,1271.76,,898.17,2.86,2.86,0.969,0.78,,890000.0,0.97264,1.0,,,,,,9.673469387755102,0.0,,,,,,,
results\DoubleDQN\MiniGrid-DoorKey-5x5-v0\bf50K_seed_222,DoubleDQN,MiniGrid-DoorKey-5x5-v0,bf50K_seed_222,222,50000,1272.41,,898.17,2.86,2.86,0.963,0.775,,310000.0,0.96976,1.0,,,,,,9.68421052631579,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf100K_seed_000,DQN,MiniGrid-DoorKey-5x5-v0,bf100K_seed_000,0,100000,2169.12,,1796.34,2.86,2.86,0.96,0.453,,950000.0,0.96904,1.0,,,,,,9.908163265306122,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf100K_seed_111,DQN,MiniGrid-DoorKey-5x5-v0,bf100K_seed_111,111,100000,2169.8,,1796.34,2.86,2.86,0.969,0.457,,890000.0,0.97264,1.0,,,,,,10.164948453608247,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf100K_seed_222,DQN,MiniGrid-DoorKey-5x5-v0,bf100K_seed_222,222,100000,2171.71,,1796.34,2.86,2.86,0.385,0.181,,840000.0,0.96976,1.0,,,,,,9.612244897959183,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf25K_seed_000,DQN,MiniGrid-DoorKey-5x5-v0,bf25K_seed_000,0,25000,821.57,,449.09,2.86,2.86,0.0,0.0,,410000.0,0.19424,0.2,,,,,,11.872340425531915,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf25K_seed_111,DQN,MiniGrid-DoorKey-5x5-v0,bf25K_seed_111,111,25000,823.11,,449.09,2.86,2.86,0.0,0.0,,490000.0,0.58128,0.6,,,,,,8.52127659574468,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf25K_seed_222,DQN,MiniGrid-DoorKey-5x5-v0,bf25K_seed_222,222,25000,824.23,,449.09,2.86,2.86,0.0,0.0,,350000.0,0.96904,1.0,,,,,,8.872340425531915,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf50K_seed_000,DQN,MiniGrid-DoorKey-5x5-v0,bf50K_seed_000,0,50000,1271.7,,898.17,2.86,2.86,0.962,0.774,,950000.0,0.96904,1.0,,,,,,10.11340206185567,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf50K_seed_111,DQN,MiniGrid-DoorKey-5x5-v0,bf50K_seed_111,111,50000,1273.42,,898.17,2.86,2.86,0.969,0.779,,890000.0,0.97264,1.0,,,,,,9.731958762886597,0.0,,,,,,,
results\DQN\MiniGrid-DoorKey-5x5-v0\bf50K_seed_222,DQN,MiniGrid-DoorKey-5x5-v0,bf50K_seed_222,222,50000,1272.42,,898.17,2.86,2.86,0.0,0.0,,10000.0,0.0,0.0,,,,,,7.585106382978723,0.0,,,,,,,
